id,title,url,description,tags,difficulty,likes,dislikes,totalSubmission,totalAccepted,similarQuestions,dis_tags
1835,Find XOR Sum of All Pairs Bitwise AND,https://leetcode.com/problems/find-xor-sum-of-all-pairs-bitwise-and,"The XOR sum of a list is the bitwise XOR of all its elements. If the list only contains one element, then its XOR sum will be equal to this element.


	For example, the XOR sum of [1,2,3,4] is equal to 1 XOR 2 XOR 3 XOR 4 = 4, and the XOR sum of [3] is equal to 3.


You are given two 0-indexed arrays arr1 and arr2 that consist only of non-negative integers.

Consider the list containing the result of arr1[i] AND arr2[j] (bitwise AND) for every (i, j) pair where 0 <= i < arr1.length and 0 <= j < arr2.length.

Return the XOR sum of the aforementioned list.",['math'],Hard,138,24,10582,5751,[],"[('c++', 10), ('bit-manipulation', 6), ('easy-understanding', 6), ('python', 6), ('math', 5), ('easytounderstand', 4), ('python3', 4), ('java', 3), ('cpp', 2), ('javascript', 2), ('xor operation', 2), ('#accepted', 1), ('#codeboy', 1), ('#easy solution', 1), ('#easy-understanding', 1), ('#explained', 1), ('#python', 1), ('#python 3', 1), ('#timelimitexceeded', 1), ('and operator', 1), ('associative-property', 1), ('beginner friendly', 1), ('best approach', 1), ('bit operation', 1), ('bitset', 1), ('bitwise', 1), ('bitwise operation', 1), ('boolean algebra', 1), ('c#', 1), ('cpp solution', 1), ('explanation of logic', 1), ('explanations', 1), ('intuition', 1), ('intution', 1), ('iterative', 1), ('linear time', 1), ('linear time complexity', 1), ('memory-optimized', 1), ('proof', 1), ('python 3', 1), ('rust', 1), ('simple clear c++ solution', 1), ('straight-forward', 1), ('vector', 1)]"
1834,Single-Threaded CPU,https://leetcode.com/problems/single-threaded-cpu,"You are given n​​​​​​ tasks labeled from 0 to n - 1 represented by a 2D integer array tasks, where tasks[i] = [enqueueTimei, processingTimei] means that the i​​​​​​th​​​​ task will be available to process at enqueueTimei and will take processingTimei to finish processing.

You have a single-threaded CPU that can process at most one task at a time and will act in the following way:


	If the CPU is idle and there are no available tasks to process, the CPU remains idle.
	If the CPU is idle and there are available tasks, the CPU will choose the one with the shortest processing time. If multiple tasks have the same shortest processing time, it will choose the task with the smallest index.
	Once a task is started, the CPU will process the entire task without stopping.
	The CPU can finish a task then start a new one instantly.


Return the order in which the CPU will process the tasks.",['heap'],Medium,240,55,21452,8641,[],"[('priority queue', 11), ('heap', 10), ('python', 10), ('c++', 5), ('java', 5), ('python3', 5), ('explained', 4), ('javascript', 4), ('priority-queue', 4), ('sort', 4), ('easy', 3), ('java-solution', 3), ('min-heap', 3), ('clean code', 2), ('cpp', 2), ('heapq', 2), ('readable code', 2), ('begginer friendly', 1), ('c#', 1), ('comments added', 1), ('cpu', 1), ('easy-to-understand', 1), ('event-driven', 1), ('go', 1), ('golang', 1), ('inefficient', 1), ('min heap', 1), ('pitfalls', 1), ('ruby', 1), ('rust', 1), ('simple', 1), ('simulation', 1), ('sorting', 1), ('swift', 1), ('ting', 1), ('understandable', 1)]"
1833,Maximum Ice Cream Bars,https://leetcode.com/problems/maximum-ice-cream-bars,"It is a sweltering summer day, and a boy wants to buy some ice cream bars.

At the store, there are n ice cream bars. You are given an array costs of length n, where costs[i] is the price of the ith ice cream bar in coins. The boy initially has coins coins to spend, and he wants to buy as many ice cream bars as possible. 

Return the maximum number of ice cream bars the boy can buy with coins coins.

Note: The boy can buy the ice cream bars in any order.","['array', 'sort']",Medium,77,37,17399,16587,[],"[('c++', 12), ('cpp', 9), ('python', 9), ('easy-understanding', 7), ('java', 7), ('python3', 7), ('javascript', 6), ('sort', 5), ('beginner friendly', 4), ('sorting', 4), ('easy-to-understand', 3), ('greedy', 3), ('java-solution', 3), ('simple', 3), ('swift', 3), ('clean code', 2), ('comments-added', 2), ('cpp solution', 2), ('explained', 2), ('heap', 2), ('sorted array', 2), ('#codegirl', 1), ('#easy-understand', 1), ('#easy-understanding', 1), ('#easysolution', 1), ('#explained', 1), ('#python', 1), ('#python 3', 1), ('#python-3', 1), ('100 faster runtime', 1), ('accumlulative sum', 1), ('c++ code', 1), ('easy', 1), ('easy to code', 1), ('easytoundersatand', 1), ('easytounderstand', 1), ('easyundersttanding', 1), ('es6', 1), ('fast-solution', 1), ('golang', 1), ('gready', 1), ('greedy algorithms', 1), ('greedy approach', 1), ('javascript solution', 1), ('nlogn', 1), ('priority queue', 1), ('pyhton', 1), ('python38', 1), ('rajat', 1), ('self-explanatory', 1), ('simple clear c++ solution', 1), ('straight-forward', 1), ('with-explanation', 1)]"
1832,Check if the Sentence Is Pangram,https://leetcode.com/problems/check-if-the-sentence-is-pangram,"A pangram is a sentence where every letter of the English alphabet appears at least once.

Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise.",['string'],Easy,92,2,18619,15898,[],"[('c++', 24), ('easy-understanding', 19), ('java', 16), ('javascript', 16), ('python', 16), ('python3', 15), ('cpp', 14), ('java-solution', 10), ('set', 9), ('beginner friendly', 6), ('swift', 6), ('easytounderstand', 5), ('c#', 4), ('explained', 4), ('pangram', 4), ('array', 3), ('easy', 3), ('string', 3), ('count', 2), ('cpp solution', 2), ('go', 2), ('golang', 2), ('kotlin', 2), ('one-liner', 2), ('ruby', 2), ('rust', 2), ('self-explanatory', 2), ('simple', 2), ('#codeboy', 1), ('#easy-understanding', 1), ('#easysolution', 1), ('#explained', 1), ('#python', 1), ('#python 3', 1), ('#python-3', 1), ('100 faster runtime', 1), ('100 memory', 1), ('100 speed', 1), ('20ms', 1), ('alphabet', 1), ('arrays', 1), ('ascii', 1), ('begineer friendly', 1), ('beginner', 1), ('beginner guide', 1), ('beginners', 1), ('bit operation', 1), ('bit-manipulation', 1), ('bit-shift', 1), ('bitmask', 1), ('bitwise', 1), ('c++ code', 1), ('clean code', 1), ('constexpr', 1), ('dictionary', 1), ('different approaches', 1), ('different solutions', 1), ('es6', 1), ('explained solution', 1), ('fastest', 1), ('for technical round', 1), ('fp', 1), ('functional', 1), ('functional programming', 1), ('go-solution', 1), ('golang solution', 1), ('golang-solution', 1), ('hash', 1), ('hashmap', 1), ('hashtable', 1), ('intutive', 1), ('java ac solution', 1), ('javasccript', 1), ('javascript solution', 1), ('list-comprehension', 1), ('map', 1), ('most appropriate', 1), ('one liner', 1), ('php', 1), ('python 3', 1), ('rajat', 1), ('regx', 1), ('scala', 1), ('self explanatory', 1), ('simple clear c++ solution', 1), ('step by step', 1), ('stream', 1), ('strings', 1), ('stringview', 1), ('swift5', 1), ('ts', 1), ('typescript', 1), ('ultra simple', 1), ('understandable', 1), ('unordered map', 1), ('upvote', 1), ('vector', 1), ('walk through', 1)]"
1825,Finding MK Average,https://leetcode.com/problems/finding-mk-average,"You are given two integers, m and k, and a stream of integers. You are tasked to implement a data structure that calculates the MKAverage for the stream.

The MKAverage can be calculated using these steps:


	If the number of the elements in the stream is less than m you should consider the MKAverage to be -1. Otherwise, copy the last m elements of the stream to a separate container.
	Remove the smallest k elements and the largest k elements from the container.
	Calculate the average value for the rest of the elements rounded down to the nearest integer.


Implement the MKAverage class:


	MKAverage(int m, int k) Initializes the MKAverage object with an empty stream and the two integers m and k.
	void addElement(int num) Inserts a new element num into the stream.
	int calculateMKAverage() Calculates and returns the MKAverage for the current stream rounded down to the nearest integer.","['heap', 'design', 'queue']",Hard,84,55,10528,3301,"[""Find Median from Data Stream"", ""Kth Largest Element in a Stream""]","[('javascript', 5), ('python3', 3), ('binary-search', 2), ('c++', 2), ('deque', 2), ('sortedlist', 2), ('binary-indexed-tree', 1), ('c++11', 1), ('easy cpp', 1), ('easy-understanding', 1), ('expalined', 1), ('fenwick tree', 1), ('hash table', 1), ('heap', 1), ('java', 1), ('lazy deletion', 1), ('multiset', 1), ('priority queue', 1), ('python', 1), ('python 3', 1), ('queues', 1), ('segment tree', 1), ('sort', 1), ('time limit exceeded', 1), ('time-complexity', 1), ('timelimit', 1), ('tle', 1), ('tle solved', 1)]"
1824,Minimum Sideway Jumps,https://leetcode.com/problems/minimum-sideway-jumps,"There is a 3 lane road of length n that consists of n + 1 points labeled from 0 to n. A frog starts at point 0 in the second lane and wants to jump to point n. However, there could be obstacles along the way.

You are given an array obstacles of length n + 1 where each obstacles[i] (ranging from 0 to 3) describes an obstacle on the lane obstacles[i] at point i. If obstacles[i] == 0, there are no obstacles at point i. There will be at most one obstacle in the 3 lanes at each point.


	For example, if obstacles[2] == 1, then there is an obstacle on lane 1 at point 2.


The frog can only travel from point i to point i + 1 on the same lane if there is not an obstacle on the lane at point i + 1. To avoid obstacles, the frog can also perform a side jump to jump to another lane (even if they are not adjacent) at the same point if there is no obstacle on the new lane.


	For example, the frog can jump from lane 3 at point 3 to lane 1 at point 3.


Return the minimum number of side jumps the frog needs to reach any lane at point n starting from lane 2 at point 0.

Note: There will be no obstacles on points 0 and n.","['dynamic-programming', 'breadth-first-search']",Medium,243,13,16195,9677,"[""Frog Jump""]","[('c++', 18), ('dp', 14), ('dynamic programming', 14), ('memoization', 10), ('python', 9), ('java', 8), ('recursion', 8), ('python3', 6), ('cpp', 5), ('dfs', 5), ('greedy', 5), ('bfs', 4), ('javascript', 3), ('comments-added', 2), ('easy-understanding', 2), ('python 3', 2), ('tabulation', 2), ('#c++', 1), ('#dp', 1), ('#dynamic programming', 1), ('#memoization', 1), ('#recursion', 1), ('2d', 1), ('admin', 1), ('backtracing', 1), ('beginnerfriendly', 1), ('binary-search', 1), ('bit operation', 1), ('bottom up', 1), ('brute-force', 1), ('bt', 1), ('c++ dynamic programming', 1), ('c++11', 1), ('deque', 1), ('dp-techqique', 1), ('dynamic programmin', 1), ('easy', 1), ('go', 1), ('golang', 1), ('help', 1), ('java-solution', 1), ('javascript solution', 1), ('js javascript', 1), ('linear memory', 1), ('linear time', 1), ('memoiziation', 1), ('memorization', 1), ('no dp', 1), ('possible-bug', 1), ('queue', 1), ('queue-approach', 1), ('simple', 1), ('stl', 1), ('swift', 1), ('top down dp', 1), ('topdown', 1), ('xor', 1)]"
1823,Find the Winner of the Circular Game,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"There are n friends that are playing a game. The friends are sitting in a circle and are numbered from 1 to n in clockwise order. More formally, moving clockwise from the ith friend brings you to the (i+1)th friend for 1 <= i < n, and moving clockwise from the nth friend brings you to the 1st friend.

The rules of the game are as follows:


	Start at the 1st friend.
	Count the next k friends in the clockwise direction including the friend you started at. The counting wraps around the circle and may count some friends more than once.
	The last friend you counted leaves the circle and loses the game.
	If there is still more than one friend in the circle, go back to step 2 starting from the friend immediately clockwise of the friend who just lost and repeat.
	Else, the last friend in the circle wins the game.


Given the number of friends, n, and an integer k, return the winner of the game.",['array'],Medium,149,6,13674,9840,[],"[('c++', 16), ('java', 16), ('python', 10), ('easytounderstand', 8), ('cpp', 7), ('python3', 7), ('easy-understanding', 5), ('queue', 5), ('javascript', 4), ('easy', 3), ('linear time', 3), ('linkedlists', 3), ('recursion', 3), ('java-solution', 2), ('linked list', 2), ('list', 2), ('python 3', 2), ('self-explanatory', 2), ('simple', 2), ('swift', 2), ('vector', 2), ('1 liner', 1), ('1-liner', 1), ('5ms solution', 1), ('adjacency list', 1), ('array', 1), ('arraylist', 1), ('brute force', 1), ('c#', 1), ('c#-solution', 1), ('circular linked list', 1), ('comments-added', 1), ('cpp solution', 1), ('dll', 1), ('easy to read', 1), ('easy to understand', 1), ('easy-to-understand', 1), ('explanation with code', 1), ('go', 1), ('golang', 1), ('josephus', 1), ('kotlin', 1), ('linear', 1), ('linked-list', 1), ('modular', 1), ('modulo-arithmatic', 1), ('modulus', 1), ('node', 1), ('on', 1), ('rajat', 1), ('recurssion', 1), ('set', 1), ('simulation', 1), ('stimulation', 1), ('while-loop', 1)]"
1822,Sign of the Product of an Array,https://leetcode.com/problems/sign-of-the-product-of-an-array,"There is a function signFunc(x) that returns:


	1 if x is positive.
	-1 if x is negative.
	0 if x is equal to 0.


You are given an integer array nums. Let product be the product of all values in the array nums.

Return signFunc(product).",['math'],Easy,95,16,27412,22507,[],"[('c++', 29), ('cpp', 17), ('java', 17), ('python', 15), ('python3', 13), ('easy-understanding', 10), ('easy', 8), ('easytounderstand', 7), ('c#', 6), ('simple', 5), ('java-solution', 4), ('javasccript', 4), ('go', 3), ('javascript', 3), ('one-liner', 3), ('swift', 3), ('0ms', 2), ('100 faster runtime', 2), ('array', 2), ('constant space', 2), ('cpp solution', 2), ('fasterthan100', 2), ('fastest', 2), ('go-solution', 2), ('golang', 2), ('linq', 2), ('optimal', 2), ('optimized', 2), ('python 3', 2), ('switch-case', 2), ('100', 1), ('100 space', 1), ('100 speed', 1), ('array sort', 1), ('boolean', 1), ('branchless', 1), ('brute force', 1), ('built-int lib', 1), ('c', 1), ('clean code', 1), ('count', 1), ('cpp short solution', 1), ('easiest', 1), ('explaination', 1), ('explained', 1), ('explained solution', 1), ('explanations', 1), ('fast-solution', 1), ('faster than 100.00', 1), ('fold', 1), ('for loop', 1), ('foreach', 1), ('fp', 1), ('golang solution', 1), ('golang-solution', 1), ('intutive', 1), ('iter', 1), ('iterative', 1), ('javascript solution', 1), ('linear', 1), ('linear seach', 1), ('linear time', 1), ('math', 1), ('modulus', 1), ('quickest', 1), ('rajat', 1), ('reduce', 1), ('rust', 1), ('self explanatory', 1), ('self-explanatory', 1), ('short and simple', 1), ('sorted array', 1), ('ultra simple', 1), ('upvote', 1), ('video-explanation', 1)]"
1819,Number of Different Subsequences GCDs,https://leetcode.com/problems/number-of-different-subsequences-gcds,"You are given an array nums that consists of positive integers.

The GCD of a sequence of numbers is defined as the greatest integer that divides all the numbers in the sequence evenly.


	For example, the GCD of the sequence [4,6,16] is 2.


A subsequence of an array is a sequence that can be formed by removing some elements (possibly none) of the array.


	For example, [2,5,10] is a subsequence of [1,2,1,2,4,1,5,10].


Return the number of different GCDs among all non-empty subsequences of nums.",['math'],Hard,152,32,11113,3651,[],"[('c++', 4), ('python', 4), ('javascript', 3), ('clean code', 2), ('easy-understanding', 2), ('explained', 2), ('explained solution', 2), ('java', 2), ('math', 2), ('python3', 2), ('simple', 2), ('bottomup', 1), ('clean', 1), ('clean-efficient', 1), ('clean-efficient-code', 1), ('comments-added', 1), ('cpp', 1), ('cpp solution', 1), ('dp', 1), ('explanation', 1), ('fastest', 1), ('maths', 1), ('python 3', 1), ('rust', 1), ('set', 1), ('swift', 1), ('tle', 1)]"
1818,Minimum Absolute Sum Difference,https://leetcode.com/problems/minimum-absolute-sum-difference,"You are given two positive integer arrays nums1 and nums2, both of length n.

The absolute sum difference of arrays nums1 and nums2 is defined as the sum of |nums1[i] - nums2[i]| for each 0 <= i < n (0-indexed).

You can replace at most one element of nums1 with any other element in nums1 to minimize the absolute sum difference.

Return the minimum absolute sum difference after replacing at most one element in the array nums1. Since the answer may be large, return it modulo 109 + 7.

|x| is defined as:


	x if x >= 0, or
	-x if x < 0.","['binary-search', 'greedy']",Medium,165,27,23647,9954,[],"[('c++', 15), ('binary-search', 13), ('java', 13), ('python3', 9), ('python', 8), ('clean code', 5), ('c#', 4), ('treeset', 4), ('binary search', 3), ('cpp', 3), ('easy', 3), ('javascript', 3), ('binarysearch', 2), ('java-solution', 2), ('kotlin', 2), ('lower-bound', 2), ('priority queue', 2), ('swift', 2), ('100 space', 1), ('100 speed', 1), ('begineer friendly', 1), ('beginner friendly', 1), ('comments-added', 1), ('easy understanding', 1), ('easy-to-understand', 1), ('easy-understanding', 1), ('exaplanation', 1), ('explained', 1), ('fast', 1), ('fast and simple', 1), ('fast-solution', 1), ('fastest', 1), ('for-loop', 1), ('greedy algorithms', 1), ('greedy approach', 1), ('heap', 1), ('intution', 1), ('java ac solution', 1), ('map', 1), ('math', 1), ('min-max', 1), ('non-working', 1), ('o-nlogn', 1), ('ruby', 1), ('simple', 1)]"
